Species2,Country2,Speciality2,Source2,Year2,Antifungals,MIC_Interpretation
Candida glabrata,USA,Hematology/Oncology,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,USA,Hematology/Oncology,Blood culture,2010,Micafungin,Susceptible
Candida parapsilosis,Mexico,Pediatrics/Neonate,Blood culture,2010,Caspofungin,Susceptible
Candida parapsilosis,Mexico,Pediatrics/Neonate,Blood culture,2010,Voriconazole,Susceptible
Candida parapsilosis,Mexico,Pediatrics/Neonate,Ascitic fluid,2010,Fluconazole,Susceptible
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Anidulafungin,Susceptible
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Micafungin,Susceptible
Candida parapsilosis,USA,Pediatrics/Neonate,Blood culture,2010,Caspofungin,Susceptible
Candida parapsilosis,USA,Pediatrics/Neonate,Blood culture,2010,Voriconazole,Susceptible
Candida tropicalis,USA,Internal Medicine,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,Ireland,Intensive Care Unit,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,Ireland,Intensive Care Unit,Blood culture,2010,Micafungin,Susceptible
Candida albicans,Ireland,Unknown,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,Ireland,Unknown,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2010,Fluconazole,Susceptible
Candida krusei,USA,Hematology/Oncology,Blood culture,2010,Anidulafungin,Susceptible
Candida krusei,USA,Hematology/Oncology,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,Hematology/Oncology,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Hematology/Oncology,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,Infectious Disease,Blood culture,2010,Fluconazole,Susceptible
Candida parapsilosis,USA,Internal Medicine,Blood culture,2010,Anidulafungin,Susceptible
Candida parapsilosis,USA,Internal Medicine,Blood culture,2010,Micafungin,Susceptible
Candida glabrata,USA,Intensive Care Unit,Blood culture,2010,Caspofungin,Susceptible
Candida krusei,Ireland,Hematology/Oncology,Other,2010,Anidulafungin,Susceptible
Candida krusei,Ireland,Hematology/Oncology,Other,2010,Micafungin,Susceptible
Candida parapsilosis,USA,Unknown,Blood culture,2010,Caspofungin,Susceptible
Candida parapsilosis,USA,Unknown,Blood culture,2010,Voriconazole,Susceptible
Candida glabrata,USA,Emergency,Blood culture,2010,Anidulafungin,Susceptible
Candida glabrata,USA,Emergency,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,USA,Emergency,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,Emergency,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Emergency,Blood culture,2010,Voriconazole,Susceptible
Candida tropicalis,USA,Intensive Care Unit,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,USA,Ambulatory/Outpatient,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,Ambulatory/Outpatient,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2010,Voriconazole,Susceptible
Candida parapsilosis,USA,Internal Medicine,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,USA,Surgery,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,Surgery,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,Family Practice,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Family Practice,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,Infectious Disease,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,Ireland,Internal Medicine,Bronchoalveolar lavage/wash,2010,Anidulafungin,Susceptible
Candida albicans,Ireland,Internal Medicine,Bronchoalveolar lavage/wash,2010,Micafungin,Susceptible
Candida tropicalis,Ireland,Internal Medicine,Bronchoalveolar lavage/wash,2010,Caspofungin,Susceptible
Candida tropicalis,Ireland,Internal Medicine,Bronchoalveolar lavage/wash,2010,Voriconazole,Susceptible
Candida albicans,Israel,Intensive Care Unit,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,Israel,Hematology/Oncology,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,Israel,Hematology/Oncology,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,Internal Medicine,Bronchoalveolar lavage/wash,2010,Caspofungin,Susceptible
Candida albicans,USA,Internal Medicine,Bronchoalveolar lavage/wash,2010,Voriconazole,Susceptible
Candida parapsilosis,USA,Family Practice,Abscess (pus),2010,Anidulafungin,Intermediate
Candida parapsilosis,USA,Family Practice,Abscess (pus),2010,Caspofungin,Susceptible
Candida parapsilosis,USA,Family Practice,Abscess (pus),2010,Voriconazole,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,Pediatrics/Neonate,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,USA,Unknown,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,Unknown,Blood culture,2010,Micafungin,Susceptible
Candida glabrata,USA,Unknown,Blood culture,2010,Caspofungin,Susceptible
Candida parapsilosis,Brazil,Hematology/Oncology,Unknown,2010,Fluconazole,Susceptible
Candida parapsilosis,Brazil,General/GI,Unknown,2010,Micafungin,Susceptible
Candida parapsilosis,Brazil,Internal Medicine,Unknown,2010,Caspofungin,Susceptible
Candida parapsilosis,Brazil,Internal Medicine,Unknown,2010,Voriconazole,Susceptible
Candida parapsilosis,Brazil,Internal Medicine,Unknown,2010,Fluconazole,Susceptible
Candida parapsilosis,Brazil,Internal Medicine,Unknown,2010,Anidulafungin,Susceptible
Candida parapsilosis,Brazil,Internal Medicine,Unknown,2010,Micafungin,Susceptible
Candida albicans,Brazil,General/GI,Ascitic fluid,2010,Fluconazole,Susceptible
Aspergillus fumigatus,Brazil,Hematology/Oncology,Bronchoalveolar lavage/wash,2010,Voriconazole,Susceptible
Candida tropicalis,Brazil,Hematology/Oncology,Ascitic fluid,2010,Caspofungin,Susceptible
Candida tropicalis,Brazil,Hematology/Oncology,Ascitic fluid,2010,Voriconazole,Susceptible
Candida albicans,Brazil,Cardiothoracic/Pulmonary,Catheter tip,2010,Fluconazole,Susceptible
Candida albicans,Brazil,General/GI,Bile,2010,Anidulafungin,Susceptible
Candida albicans,Brazil,General/GI,Bile,2010,Micafungin,Susceptible
Candida parapsilosis,Brazil,General/GI,Ascitic fluid,2010,Caspofungin,Susceptible
Candida parapsilosis,Brazil,General/GI,Ascitic fluid,2010,Voriconazole,Susceptible
Candida albicans,Brazil,General/GI,Catheter tip,2010,Fluconazole,Susceptible
Candida glabrata,Brazil,Internal Medicine,Abscess (pus),2010,Anidulafungin,Susceptible
Candida glabrata,Brazil,Internal Medicine,Abscess (pus),2010,Fluconazole,Intermediate
Candida glabrata,Brazil,Internal Medicine,Abscess (pus),2010,Micafungin,Susceptible
Candida albicans,USA,Neurology,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,Neurology,Blood culture,2010,Micafungin,Susceptible
Candida parapsilosis,USA,Hematology/Oncology,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,Spain,Intensive Care Unit,Plueral fluid,2010,Fluconazole,Susceptible
Candida albicans,Spain,Pediatrics/Neonate,Unknown,2010,Anidulafungin,Susceptible
Candida albicans,Spain,Pediatrics/Neonate,Unknown,2010,Micafungin,Susceptible
Candida glabrata,USA,Neurology,Blood culture,2010,Anidulafungin,Susceptible
Candida glabrata,USA,Neurology,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,USA,Neurology,Blood culture,2010,Micafungin,Susceptible
Candida glabrata,USA,Intensive Care Unit,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Blood culture,2010,Micafungin,Susceptible
Candida glabrata,USA,Surgery,Blood culture,2010,Caspofungin,Intermediate
Candida krusei,USA,Hematology/Oncology,Blood culture,2010,Anidulafungin,Susceptible
Candida krusei,USA,Hematology/Oncology,Blood culture,2010,Micafungin,Susceptible
Candida glabrata,Brazil,Surgery,Blood culture,2010,Caspofungin,Susceptible
Candida parapsilosis,Brazil,Psychiatry,Blood culture,2010,Fluconazole,Susceptible
Candida parapsilosis,Brazil,Neurosurgery,Blood culture,2010,Anidulafungin,Susceptible
Candida parapsilosis,Brazil,Neurosurgery,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,Internal Medicine,Bronchoalveolar lavage/wash,2010,Caspofungin,Susceptible
Candida albicans,USA,Internal Medicine,Bronchoalveolar lavage/wash,2010,Voriconazole,Susceptible
Candida albicans,USA,Internal Medicine,Bronchoalveolar lavage/wash,2010,Fluconazole,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Bronchoalveolar lavage/wash,2010,Caspofungin,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Bronchoalveolar lavage/wash,2010,Voriconazole,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Bronchoalveolar lavage/wash,2010,Fluconazole,Susceptible
Candida glabrata,USA,Emergency,Blood culture,2010,Anidulafungin,Susceptible
Candida glabrata,USA,Emergency,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,USA,Emergency,Blood culture,2010,Micafungin,Susceptible
Candida parapsilosis,Mexico,Urology/Prostate,Blood culture,2010,Caspofungin,Susceptible
Candida parapsilosis,Mexico,Urology/Prostate,Blood culture,2010,Voriconazole,Susceptible
Candida parapsilosis,Brazil,Pediatrics/Neonate,Blood culture,2010,Fluconazole,Susceptible
Candida parapsilosis,Brazil,Trauma,Blood culture,2010,Caspofungin,Susceptible
Candida parapsilosis,Brazil,Trauma,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,Sweden,Surgery,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,USA,Unknown,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,Unknown,Blood culture,2010,Micafungin,Susceptible
Candida krusei,USA,Unknown,Blood culture,2010,Caspofungin,Susceptible
Candida krusei,USA,Unknown,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,Brazil,Intensive Care Unit,Cerebrospinal fluid,2010,Caspofungin,Susceptible
Candida albicans,Brazil,Intensive Care Unit,Cerebrospinal fluid,2010,Voriconazole,Susceptible
Candida parapsilosis,Brazil,Pediatrics/Neonate,Blood culture,2010,Fluconazole,Susceptible
Candida tropicalis,Brazil,General/GI,Ascitic fluid,2010,Caspofungin,Susceptible
Candida tropicalis,Brazil,General/GI,Ascitic fluid,2010,Voriconazole,Susceptible
Candida tropicalis,Germany,Surgery,Blood culture,2010,Anidulafungin,Susceptible
Candida tropicalis,Germany,Surgery,Blood culture,2010,Micafungin,Susceptible
Candida parapsilosis,USA,Pediatrics/Neonate,Blood culture,2010,Caspofungin,Susceptible
Candida parapsilosis,USA,Pediatrics/Neonate,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,Argentina,Intensive Care Unit,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,Argentina,Intensive Care Unit,Bronchoalveolar lavage/wash,2010,Anidulafungin,Susceptible
Candida albicans,Argentina,Intensive Care Unit,Bronchoalveolar lavage/wash,2010,Micafungin,Susceptible
Candida albicans,Argentina,Unknown,Sputum,2010,Caspofungin,Susceptible
Candida albicans,Argentina,Unknown,Sputum,2010,Voriconazole,Susceptible
Candida albicans,Argentina,Urology/Prostate,Blood culture,2010,Fluconazole,Susceptible
Candida tropicalis,Israel,Hematology/Oncology,Blood culture,2010,Anidulafungin,Susceptible
Candida tropicalis,Israel,Hematology/Oncology,Blood culture,2010,Micafungin,Susceptible
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Caspofungin,Susceptible
Candida tropicalis,USA,Burn,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,USA,Hematology/Oncology,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,Hematology/Oncology,Blood culture,2010,Micafungin,Susceptible
Candida parapsilosis,USA,General/GI,Blood culture,2010,Caspofungin,Susceptible
Candida parapsilosis,USA,General/GI,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,Hematology/Oncology,Blood culture,2010,Fluconazole,Susceptible
Candida glabrata,USA,General/GI,Blood culture,2010,Anidulafungin,Susceptible
Candida glabrata,USA,General/GI,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,USA,General/GI,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,General/GI,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,General/GI,Blood culture,2010,Micafungin,Susceptible
Candida glabrata,USA,General/GI,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Pediatrics/Neonate,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,USA,Hematology/Oncology,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,Hematology/Oncology,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2010,Micafungin,Susceptible
Candida tropicalis,USA,Internal Medicine,Blood culture,2010,Caspofungin,Susceptible
Candida tropicalis,USA,Internal Medicine,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2010,Fluconazole,Susceptible
Candida tropicalis,USA,Hematology/Oncology,Blood culture,2010,Anidulafungin,Susceptible
Candida tropicalis,USA,Hematology/Oncology,Blood culture,2010,Micafungin,Susceptible
Candida tropicalis,USA,General/GI,Blood culture,2010,Caspofungin,Susceptible
Candida tropicalis,USA,General/GI,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2010,Fluconazole,Susceptible
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Anidulafungin,Susceptible
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,Orthopedics,Bronchoalveolar lavage/wash,2010,Caspofungin,Susceptible
Candida albicans,USA,Orthopedics,Bronchoalveolar lavage/wash,2010,Voriconazole,Susceptible
Candida albicans,USA,Intensive Care Unit,Bronchoalveolar lavage/wash,2010,Fluconazole,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Bronchoalveolar lavage/wash,2010,Anidulafungin,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Bronchoalveolar lavage/wash,2010,Micafungin,Susceptible
Candida albicans,USA,Critical Care Unit,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Critical Care Unit,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2010,Micafungin,Susceptible
Candida parapsilosis,USA,Unknown,Blood culture,2010,Anidulafungin,Intermediate
Candida parapsilosis,USA,Unknown,Blood culture,2010,Caspofungin,Susceptible
Candida parapsilosis,USA,Unknown,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2010,Fluconazole,Susceptible
Candida glabrata,USA,Intensive Care Unit,Blood culture,2010,Anidulafungin,Susceptible
Candida glabrata,USA,Intensive Care Unit,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,USA,Intensive Care Unit,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,Hematology/Oncology,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Hematology/Oncology,Blood culture,2010,Voriconazole,Susceptible
Candida parapsilosis,USA,Intensive Care Unit,Blood culture,2010,Fluconazole,Susceptible
Candida tropicalis,USA,General/GI,Blood culture,2010,Anidulafungin,Susceptible
Candida tropicalis,USA,General/GI,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,General/GI,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,General/GI,Blood culture,2010,Voriconazole,Susceptible
Candida parapsilosis,USA,Intensive Care Unit,Blood culture,2010,Fluconazole,Susceptible
Candida parapsilosis,USA,Hematology/Oncology,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,Pediatrics/Neonate,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Pediatrics/Neonate,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,Surgery,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,Sweden,Burn,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,Sweden,Burn,Blood culture,2010,Micafungin,Susceptible
Candida albicans,Sweden,Cardiothoracic/Pulmonary,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,Sweden,Cardiothoracic/Pulmonary,Blood culture,2010,Voriconazole,Susceptible
Candida parapsilosis,USA,Internal Medicine,Blood culture,2010,Micafungin,Susceptible
Candida tropicalis,USA,Internal Medicine,Blood culture,2010,Caspofungin,Susceptible
Candida tropicalis,USA,Internal Medicine,Blood culture,2010,Voriconazole,Susceptible
Candida parapsilosis,USA,Intensive Care Unit,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,USA,Internal Medicine,Tissue,2010,Anidulafungin,Susceptible
Candida albicans,USA,Internal Medicine,Tissue,2010,Micafungin,Susceptible
Candida glabrata,USA,Intensive Care Unit,Blood culture,2010,Caspofungin,Susceptible
Candida glabrata,USA,Internal Medicine,Plueral fluid,2010,Anidulafungin,Susceptible
Candida glabrata,USA,Internal Medicine,Plueral fluid,2010,Fluconazole,Intermediate
Candida glabrata,USA,Internal Medicine,Plueral fluid,2010,Micafungin,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Cardiothoracic/Pulmonary,Blood culture,2010,Voriconazole,Susceptible
Candida glabrata,USA,Cardiothoracic/Pulmonary,Blood culture,2010,Anidulafungin,Resistant
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Anidulafungin,Susceptible
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Micafungin,Susceptible
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Anidulafungin,Intermediate
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Pediatrics/Neonate,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Pediatrics/Neonate,Blood culture,2010,Voriconazole,Susceptible
Candida glabrata,USA,Intensive Care Unit,Blood culture,2010,Anidulafungin,Susceptible
Candida glabrata,USA,Intensive Care Unit,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,USA,Intensive Care Unit,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2010,Voriconazole,Susceptible
Candida tropicalis,Mexico,Internal Medicine,Abscess (pus),2010,Fluconazole,Susceptible
Candida albicans,Mexico,Internal Medicine,Bronchoalveolar lavage/wash,2010,Anidulafungin,Susceptible
Candida albicans,Mexico,Internal Medicine,Bronchoalveolar lavage/wash,2010,Micafungin,Susceptible
Candida albicans,Mexico,Pediatrics/Neonate,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,Mexico,Pediatrics/Neonate,Blood culture,2010,Voriconazole,Susceptible
Candida parapsilosis,Mexico,Internal Medicine,Blood culture,2010,Fluconazole,Susceptible
Candida tropicalis,Mexico,Pediatrics/Neonate,Blood culture,2010,Anidulafungin,Susceptible
Candida tropicalis,Mexico,Pediatrics/Neonate,Blood culture,2010,Micafungin,Susceptible
Candida tropicalis,Mexico,Intensive Care Unit,Blood culture,2010,Caspofungin,Susceptible
Candida tropicalis,Mexico,Intensive Care Unit,Blood culture,2010,Voriconazole,Susceptible
Candida tropicalis,Mexico,Hematology/Oncology,Blood culture,2010,Fluconazole,Susceptible
Candida glabrata,Mexico,Hematology/Oncology,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,Mexico,Hematology/Oncology,Blood culture,2010,Micafungin,Susceptible
Candida albicans,Mexico,Internal Medicine,Bronchoalveolar lavage/wash,2010,Caspofungin,Susceptible
Candida albicans,Mexico,Internal Medicine,Bronchoalveolar lavage/wash,2010,Voriconazole,Susceptible
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Anidulafungin,Susceptible
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Micafungin,Susceptible
Candida parapsilosis,Ireland,General/GI,Blood culture,2010,Caspofungin,Susceptible
Candida parapsilosis,Ireland,General/GI,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,Ireland,Unknown,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,Ireland,Unknown,Blood culture,2010,Micafungin,Susceptible
Candida albicans,Ireland,Intensive Care Unit,Bronchoalveolar lavage/wash,2010,Caspofungin,Susceptible
Candida albicans,Ireland,Intensive Care Unit,Bronchoalveolar lavage/wash,2010,Voriconazole,Susceptible
Candida albicans,Ireland,Internal Medicine,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,Ireland,Internal Medicine,Blood culture,2010,Micafungin,Susceptible
Candida albicans,Ireland,Internal Medicine,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,Ireland,Internal Medicine,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,Ireland,Intensive Care Unit,Plueral fluid,2010,Fluconazole,Susceptible
Candida albicans,Ireland,Intensive Care Unit,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,Ireland,Intensive Care Unit,Blood culture,2010,Micafungin,Susceptible
Candida albicans,Israel,Neurosurgery,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,Israel,Neurosurgery,Blood culture,2010,Voriconazole,Susceptible
Candida parapsilosis,Israel,Internal Medicine,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,Israel,Hematology/Oncology,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,Israel,Hematology/Oncology,Blood culture,2010,Micafungin,Susceptible
Candida glabrata,Israel,Burn,Blood culture,2010,Anidulafungin,Intermediate
Candida glabrata,Israel,Burn,Blood culture,2010,Caspofungin,Susceptible
Candida glabrata,Israel,Internal Medicine,Blood culture,2010,Anidulafungin,Susceptible
Candida glabrata,Israel,Internal Medicine,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,Israel,Internal Medicine,Blood culture,2010,Micafungin,Susceptible
Candida guilliermondii,Israel,Internal Medicine,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,Israel,Internal Medicine,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,USA,Unknown,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,Unknown,Blood culture,2010,Micafungin,Susceptible
Candida albicans,USA,Unknown,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Unknown,Blood culture,2010,Voriconazole,Susceptible
Candida albicans,USA,Unknown,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,USA,Unknown,Blood culture,2010,Anidulafungin,Susceptible
